CUSTOMERNAME  ,AverageTransactionAmount
Suominen Souveniers,3798.704999999999
Amica Models & Co.,3619.8946153846164
Collectables For Less Inc.,3399.0825
CAF Imports,3818.619230769231
giftsbymail.co.uk,3009.2630769230764
Rovelli Gifts,2874.077500000001
Lyon Souveniers,3928.5170000000007
La Rochelle Gifts,3398.5830188679242
L'ordine Souveniers,3656.4443589743596
Signal Collectibles Ltd.,3347.9006666666673
Vitachrome Inc.,3521.6504000000004
"Volvo Model Replicas, Co",3987.0989473684212
Daedalus Designs Imports,3452.6205
Classic Legends Inc.,3889.7599999999998
Mini Wheels Co.,3546.4847619047614
Signal Gift Stores,2853.48551724138
"La Corne D'abondance, Co.",4226.24695652174
"Royal Canadian Collectables, Ltd.",2870.5711538461537
Online Diecast Creations Co.,3873.09705882353
Cruz & Sons Co.,3615.9896153846153
"Vida Sport, Ltd",3797.211612903225
"Australian Gift Network, Co",3964.6079999999993
"Stylish Desk Decors, Co.",3415.5576923076924
Motor Mint Distributors Inc.,3638.3547826086956
Auto Canal Petit,3450.7651851851847
"Toys of Finland, Co.",3708.3459999999986
Atelier graphique,3454.2799999999997
Reims Collectables,3293.7302439024393
"Men 'R' US Retailers, Ltd.",3432.032857142857
"AV Stores, Co.",3094.270784313725
Toys4GrownUps.com,3485.398666666666
CUSTOMERNAME,
Gift Ideas Corp.,3015.4957894736845
"Saveley & Henriot, Co.",3484.7378048780497
Super Scale Inc.,4674.827647058824
"Toms Spezialitten, Ltd",3857.9453846153847
Marseille Mini Autos,2997.4456
"Australian Collectors, Co.",3654.4619999999995
"UK Collectables, Ltd.",4069.250689655172
Corporate Gift Ideas Co.,3655.6707317073165
Technics Stores Inc.,3552.443235294118
"Bavarian Collectables Imports, Co.",2499.565714285714
Canadian Gift Exchange Network,3419.950909090909
FunGiftIdeas.com,3804.758846153847
"Norway Gifts By Mail, Co.",3301.009583333333
The Sharp Gifts Warehouse,4000.256749999999
Diecast Classics Inc.,3939.9400000000005
Mini Creations Ltd.,3112.8894285714287
"Iberia Gift Imports, Corp.",3648.2413333333334
Gift Depot Inc.,4075.7916000000005
"Blauer See Auto, Co.",3871.4359090909084
Land of Toys Inc.,3348.3559183673474
Enaco Distributors,3409.2113043478266
Online Mini Collectables,3813.1973333333326
Gifts4AllAges.com,3200.38
Souveniers And Things Co.,3295.021304347827
Petit Auto,2998.9008000000003
Handji Gifts& Co,3208.298055555556
"Tokyo Collectables, Ltd",3767.585624999999
Cambridge Collectables Co.,3287.6018181818176
Microscale Inc.,3314.493000000001
Auto-Moto Classics Inc.,3309.9075000000003
"Anna's Decorations, Ltd",3347.7419565217397
Alpha Cognac,3524.422
Tekni Collectables Inc.,3963.247142857143
Mini Gifts Distributors Ltd.,3638.1003333333338
Euro Shopping Channel,3522.371081081082
"Corrida Auto Replicas, Ltd",3769.2275
Scandinavian Gift Ideas,3533.1402631578953
Boards & Toys Co.,3043.1166666666663
"Double Decker Gift Stores, Ltd",3001.5866666666666
West Coast Collectables Co.,3544.972307692307
Auto Assoc. & Cie.,3601.906666666667
Salzburg Collectables,3744.9657500000003
"Classic Gift Ideas, Inc",3214.6176190476185
"Oulu Toy Supplies, Inc.",3261.574375
Danish Wholesale Imports,4028.9333333333334
"Clover Collections, Co.",3609.776875
Baane Mini Imports,3643.7246875
Herkku Gifts,3849.6648275862067
Diecast Collectables,3936.6544444444444
Heintze Collectables,3725.7611111111105
Quebec Home Shopping Network,3372.9449999999997
Mini Auto Werke,3484.2599999999998
Marta's Replicas Co.,3817.7918518518513
Muscle Machine Inc,4119.519583333333
Royale Belge,4180.0125
"Dragon Souveniers, Ltd.",4023.01581395349
Collectable Mini Designs Co.,3499.5691999999995
"Australian Collectables, Ltd",2808.3243478260874
Osaka Souveniers Co.,3380.2535000000003
Mini Classics,3290.614999999999
Mini Caravy,4233.604210526316
